,lemma,next-lemma,next-next-lemma,next-next-pos,next-next-shape,next-next-word,next-pos,next-shape,next-word,pos,prev-iob,prev-lemma,prev-pos,prev-prev-iob,prev-prev-lemma,prev-prev-pos,prev-prev-shape,prev-prev-word,prev-shape,prev-word,sentence_idx,shape,word,tag
0,thousand,of,demonstr,NNS,lowercase,demonstrators,IN,lowercase,of,NNS,__START1__,__start1__,__START1__,__START2__,__start2__,__START2__,wildcard,__START2__,wildcard,__START1__,1,capitalized,Thousands,O
1,of,demonstr,have,VBP,lowercase,have,NNS,lowercase,demonstrators,IN,O,thousand,NNS,__START1__,__start1__,__START1__,wildcard,__START1__,capitalized,Thousands,1,lowercase,of,O
2,demonstr,have,march,VBN,lowercase,marched,VBP,lowercase,have,NNS,O,of,IN,O,thousand,NNS,capitalized,Thousands,lowercase,of,1,lowercase,demonstrators,O
3,have,march,through,IN,lowercase,through,VBN,lowercase,marched,VBP,O,demonstr,NNS,O,of,IN,lowercase,of,lowercase,demonstrators,1,lowercase,have,O
4,march,through,london,NNP,capitalized,London,IN,lowercase,through,VBN,O,have,VBP,O,demonstr,NNS,lowercase,demonstrators,lowercase,have,1,lowercase,marched,O
5,through,london,to,TO,lowercase,to,NNP,capitalized,London,IN,O,march,VBN,O,have,VBP,lowercase,have,lowercase,marched,1,lowercase,through,O
6,london,to,protest,VB,lowercase,protest,TO,lowercase,to,NNP,O,through,IN,O,march,VBN,lowercase,marched,lowercase,through,1,capitalized,London,B-geo
7,to,protest,the,DT,lowercase,the,VB,lowercase,protest,TO,B-geo,london,NNP,O,through,IN,lowercase,through,capitalized,London,1,lowercase,to,O
8,protest,the,war,NN,lowercase,war,DT,lowercase,the,VB,O,to,TO,B-geo,london,NNP,capitalized,London,lowercase,to,1,lowercase,protest,O
9,the,war,in,IN,lowercase,in,NN,lowercase,war,DT,O,protest,VB,O,to,TO,lowercase,to,lowercase,protest,1,lowercase,the,O
10,war,in,iraq,NNP,capitalized,Iraq,IN,lowercase,in,NN,O,the,DT,O,protest,VB,lowercase,protest,lowercase,the,1,lowercase,war,O
11,in,iraq,and,CC,lowercase,and,NNP,capitalized,Iraq,IN,O,war,NN,O,the,DT,lowercase,the,lowercase,war,1,lowercase,in,O
12,iraq,and,demand,VB,lowercase,demand,CC,lowercase,and,NNP,O,in,IN,O,war,NN,lowercase,war,lowercase,in,1,capitalized,Iraq,B-geo
13,and,demand,the,DT,lowercase,the,VB,lowercase,demand,CC,B-geo,iraq,NNP,O,in,IN,lowercase,in,capitalized,Iraq,1,lowercase,and,O
14,demand,the,withdraw,NN,lowercase,withdrawal,DT,lowercase,the,VB,O,and,CC,B-geo,iraq,NNP,capitalized,Iraq,lowercase,and,1,lowercase,demand,O
15,the,withdraw,of,IN,lowercase,of,NN,lowercase,withdrawal,DT,O,demand,VB,O,and,CC,lowercase,and,lowercase,demand,1,lowercase,the,O
16,withdraw,of,british,JJ,capitalized,British,IN,lowercase,of,NN,O,the,DT,O,demand,VB,lowercase,demand,lowercase,the,1,lowercase,withdrawal,O
17,of,british,troop,NNS,lowercase,troops,JJ,capitalized,British,IN,O,withdraw,NN,O,the,DT,lowercase,the,lowercase,withdrawal,1,lowercase,of,O
18,british,troop,from,IN,lowercase,from,NNS,lowercase,troops,JJ,O,of,IN,O,withdraw,NN,lowercase,withdrawal,lowercase,of,1,capitalized,British,B-gpe
19,troop,from,that,DT,lowercase,that,IN,lowercase,from,NNS,B-gpe,british,JJ,O,of,IN,lowercase,of,capitalized,British,1,lowercase,troops,O
20,from,that,countri,NN,lowercase,country,DT,lowercase,that,IN,O,troop,NNS,B-gpe,british,JJ,capitalized,British,lowercase,troops,1,lowercase,from,O
21,that,countri,.,.,punct,.,NN,lowercase,country,DT,O,from,IN,O,troop,NNS,lowercase,troops,lowercase,from,1,lowercase,that,O
22,countri,.,__end1__,__END1__,wildcard,__END1__,.,punct,.,NN,O,that,DT,O,from,IN,lowercase,from,lowercase,that,1,lowercase,country,O
23,.,__end1__,__end2__,__END2__,wildcard,__END2__,__END1__,wildcard,__END1__,.,O,countri,NN,O,that,DT,lowercase,that,lowercase,country,1,punct,.,O
24,famili,of,soldier,NNS,lowercase,soldiers,IN,lowercase,of,NNS,__START1__,__start1__,__START1__,__START2__,__start2__,__START2__,wildcard,__START2__,wildcard,__START1__,2,capitalized,Families,O
25,of,soldier,kill,VBN,lowercase,killed,NNS,lowercase,soldiers,IN,O,famili,NNS,__START1__,__start1__,__START1__,wildcard,__START1__,capitalized,Families,2,lowercase,of,O
26,soldier,kill,in,IN,lowercase,in,VBN,lowercase,killed,NNS,O,of,IN,O,famili,NNS,capitalized,Families,lowercase,of,2,lowercase,soldiers,O
27,kill,in,the,DT,lowercase,the,IN,lowercase,in,VBN,O,soldier,NNS,O,of,IN,lowercase,of,lowercase,soldiers,2,lowercase,killed,O
28,in,the,conflict,NN,lowercase,conflict,DT,lowercase,the,IN,O,kill,VBN,O,soldier,NNS,lowercase,soldiers,lowercase,killed,2,lowercase,in,O
29,the,conflict,join,VBD,lowercase,joined,NN,lowercase,conflict,DT,O,in,IN,O,kill,VBN,lowercase,killed,lowercase,in,2,lowercase,the,O
30,conflict,join,the,DT,lowercase,the,VBD,lowercase,joined,NN,O,the,DT,O,in,IN,lowercase,in,lowercase,the,2,lowercase,conflict,O
31,join,the,protest,NNS,lowercase,protesters,DT,lowercase,the,VBD,O,conflict,NN,O,the,DT,lowercase,the,lowercase,conflict,2,lowercase,joined,O
32,the,protest,who,WP,lowercase,who,NNS,lowercase,protesters,DT,O,join,VBD,O,conflict,NN,lowercase,conflict,lowercase,joined,2,lowercase,the,O
33,protest,who,carri,VBD,lowercase,carried,WP,lowercase,who,NNS,O,the,DT,O,join,VBD,lowercase,joined,lowercase,the,2,lowercase,protesters,O
34,who,carri,banner,NNS,lowercase,banners,VBD,lowercase,carried,WP,O,protest,NNS,O,the,DT,lowercase,the,lowercase,protesters,2,lowercase,who,O
35,carri,banner,with,IN,lowercase,with,NNS,lowercase,banners,VBD,O,who,WP,O,protest,NNS,lowercase,protesters,lowercase,who,2,lowercase,carried,O
36,banner,with,such,JJ,lowercase,such,IN,lowercase,with,NNS,O,carri,VBD,O,who,WP,lowercase,who,lowercase,carried,2,lowercase,banners,O
37,with,such,slogan,NNS,lowercase,slogans,JJ,lowercase,such,IN,O,banner,NNS,O,carri,VBD,lowercase,carried,lowercase,banners,2,lowercase,with,O
38,such,slogan,as,IN,lowercase,as,NNS,lowercase,slogans,JJ,O,with,IN,O,banner,NNS,lowercase,banners,lowercase,with,2,lowercase,such,O
39,slogan,as,"""",``,punct,"""",IN,lowercase,as,NNS,O,such,JJ,O,with,IN,lowercase,with,lowercase,such,2,lowercase,slogans,O
40,as,"""",bush,NNP,capitalized,Bush,``,punct,"""",IN,O,slogan,NNS,O,such,JJ,lowercase,such,lowercase,slogans,2,lowercase,as,O
41,"""",bush,number,NN,capitalized,Number,NNP,capitalized,Bush,``,O,as,IN,O,slogan,NNS,lowercase,slogans,lowercase,as,2,punct,"""",O
42,bush,number,one,CD,capitalized,One,NN,capitalized,Number,NNP,O,"""",``,O,as,IN,lowercase,as,punct,"""",2,capitalized,Bush,B-per
43,number,one,terrorist,NN,capitalized,Terrorist,CD,capitalized,One,NN,B-per,bush,NNP,O,"""",``,punct,"""",capitalized,Bush,2,capitalized,Number,O
44,one,terrorist,"""",``,punct,"""",NN,capitalized,Terrorist,CD,O,number,NN,B-per,bush,NNP,capitalized,Bush,capitalized,Number,2,capitalized,One,O
45,terrorist,"""",and,CC,lowercase,and,``,punct,"""",NN,O,one,CD,O,number,NN,capitalized,Number,capitalized,One,2,capitalized,Terrorist,O
46,"""",and,"""",``,punct,"""",CC,lowercase,and,``,O,terrorist,NN,O,one,CD,capitalized,One,capitalized,Terrorist,2,punct,"""",O
47,and,"""",stop,VB,capitalized,Stop,``,punct,"""",CC,O,"""",``,O,terrorist,NN,capitalized,Terrorist,punct,"""",2,lowercase,and,O
48,"""",stop,the,DT,lowercase,the,VB,capitalized,Stop,``,O,and,CC,O,"""",``,punct,"""",lowercase,and,2,punct,"""",O
49,stop,the,bomb,NNS,capitalized,Bombings,DT,lowercase,the,VB,O,"""",``,O,and,CC,lowercase,and,punct,"""",2,capitalized,Stop,O
50,the,bomb,.,.,punct,.,NNS,capitalized,Bombings,DT,O,stop,VB,O,"""",``,punct,"""",capitalized,Stop,2,lowercase,the,O
51,bomb,.,"""",``,punct,"""",.,punct,.,NNS,O,the,DT,O,stop,VB,capitalized,Stop,lowercase,the,2,capitalized,Bombings,O
52,.,"""",__end1__,__END1__,wildcard,__END1__,``,punct,"""",.,O,bomb,NNS,O,the,DT,lowercase,the,capitalized,Bombings,2,punct,.,O
53,"""",__end1__,__end2__,__END2__,wildcard,__END2__,__END1__,wildcard,__END1__,``,O,.,.,O,bomb,NNS,capitalized,Bombings,punct,.,2,punct,"""",O
54,they,march,from,IN,lowercase,from,VBD,lowercase,marched,PRP,__START1__,__start1__,__START1__,__START2__,__start2__,__START2__,wildcard,__START2__,wildcard,__START1__,3,capitalized,They,O
55,march,from,the,DT,lowercase,the,IN,lowercase,from,VBD,O,they,PRP,__START1__,__start1__,__START1__,wildcard,__START1__,capitalized,They,3,lowercase,marched,O
56,from,the,hous,NNS,capitalized,Houses,DT,lowercase,the,IN,O,march,VBD,O,they,PRP,capitalized,They,lowercase,marched,3,lowercase,from,O
57,the,hous,of,IN,lowercase,of,NNS,capitalized,Houses,DT,O,from,IN,O,march,VBD,lowercase,marched,lowercase,from,3,lowercase,the,O
58,hous,of,parliament,NN,capitalized,Parliament,IN,lowercase,of,NNS,O,the,DT,O,from,IN,lowercase,from,lowercase,the,3,capitalized,Houses,O
59,of,parliament,to,TO,lowercase,to,NN,capitalized,Parliament,IN,O,hous,NNS,O,the,DT,lowercase,the,capitalized,Houses,3,lowercase,of,O
60,parliament,to,a,DT,lowercase,a,TO,lowercase,to,NN,O,of,IN,O,hous,NNS,capitalized,Houses,lowercase,of,3,capitalized,Parliament,O
61,to,a,ralli,NN,lowercase,rally,DT,lowercase,a,TO,O,parliament,NN,O,of,IN,lowercase,of,capitalized,Parliament,3,lowercase,to,O
62,a,ralli,in,IN,lowercase,in,NN,lowercase,rally,DT,O,to,TO,O,parliament,NN,capitalized,Parliament,lowercase,to,3,lowercase,a,O
63,ralli,in,hyde,NNP,capitalized,Hyde,IN,lowercase,in,NN,O,a,DT,O,to,TO,lowercase,to,lowercase,a,3,lowercase,rally,O
64,in,hyde,park,NNP,capitalized,Park,NNP,capitalized,Hyde,IN,O,ralli,NN,O,a,DT,lowercase,a,lowercase,rally,3,lowercase,in,O
65,hyde,park,.,.,punct,.,NNP,capitalized,Park,NNP,O,in,IN,O,ralli,NN,lowercase,rally,lowercase,in,3,capitalized,Hyde,B-geo
66,park,.,__end1__,__END1__,wildcard,__END1__,.,punct,.,NNP,B-geo,hyde,NNP,O,in,IN,lowercase,in,capitalized,Hyde,3,capitalized,Park,I-geo
67,.,__end1__,__end2__,__END2__,wildcard,__END2__,__END1__,wildcard,__END1__,.,I-geo,park,NNP,B-geo,hyde,NNP,capitalized,Hyde,capitalized,Park,3,punct,.,O
68,polic,put,the,DT,lowercase,the,VBD,lowercase,put,NNS,__START1__,__start1__,__START1__,__START2__,__start2__,__START2__,wildcard,__START2__,wildcard,__START1__,4,capitalized,Police,O
69,put,the,number,NN,lowercase,number,DT,lowercase,the,VBD,O,polic,NNS,__START1__,__start1__,__START1__,wildcard,__START1__,capitalized,Police,4,lowercase,put,O
70,the,number,of,IN,lowercase,of,NN,lowercase,number,DT,O,put,VBD,O,polic,NNS,capitalized,Police,lowercase,put,4,lowercase,the,O
71,number,of,marcher,NNS,lowercase,marchers,IN,lowercase,of,NN,O,the,DT,O,put,VBD,lowercase,put,lowercase,the,4,lowercase,number,O
72,of,marcher,at,IN,lowercase,at,NNS,lowercase,marchers,IN,O,number,NN,O,the,DT,lowercase,the,lowercase,number,4,lowercase,of,O
73,marcher,at,"10,000",CD,number,"10,000",IN,lowercase,at,NNS,O,of,IN,O,number,NN,lowercase,number,lowercase,of,4,lowercase,marchers,O
74,at,"10,000",while,IN,lowercase,while,CD,number,"10,000",IN,O,marcher,NNS,O,of,IN,lowercase,of,lowercase,marchers,4,lowercase,at,O
75,"10,000",while,organ,NNS,lowercase,organizers,IN,lowercase,while,CD,O,at,IN,O,marcher,NNS,lowercase,marchers,lowercase,at,4,number,"10,000",O
76,while,organ,claim,VBD,lowercase,claimed,NNS,lowercase,organizers,IN,O,"10,000",CD,O,at,IN,lowercase,at,number,"10,000",4,lowercase,while,O
77,organ,claim,it,PRP,lowercase,it,VBD,lowercase,claimed,NNS,O,while,IN,O,"10,000",CD,number,"10,000",lowercase,while,4,lowercase,organizers,O
78,claim,it,was,VBD,lowercase,was,PRP,lowercase,it,VBD,O,organ,NNS,O,while,IN,lowercase,while,lowercase,organizers,4,lowercase,claimed,O
79,it,was,"1,00,000",CD,number,"1,00,000",VBD,lowercase,was,PRP,O,claim,VBD,O,organ,NNS,lowercase,organizers,lowercase,claimed,4,lowercase,it,O
80,was,"1,00,000",.,.,punct,.,CD,number,"1,00,000",VBD,O,it,PRP,O,claim,VBD,lowercase,claimed,lowercase,it,4,lowercase,was,O
81,"1,00,000",.,__end1__,__END1__,wildcard,__END1__,.,punct,.,CD,O,was,VBD,O,it,PRP,lowercase,it,lowercase,was,4,number,"1,00,000",O
82,.,__end1__,__end2__,__END2__,wildcard,__END2__,__END1__,wildcard,__END1__,.,O,"1,00,000",CD,O,was,VBD,lowercase,was,number,"1,00,000",4,punct,.,O
83,the,protest,come,VBZ,lowercase,comes,NN,lowercase,protest,DT,__START1__,__start1__,__START1__,__START2__,__start2__,__START2__,wildcard,__START2__,wildcard,__START1__,5,capitalized,The,O
84,protest,come,on,IN,lowercase,on,VBZ,lowercase,comes,NN,O,the,DT,__START1__,__start1__,__START1__,wildcard,__START1__,capitalized,The,5,lowercase,protest,O
85,come,on,the,DT,lowercase,the,IN,lowercase,on,VBZ,O,protest,NN,O,the,DT,capitalized,The,lowercase,protest,5,lowercase,comes,O
86,on,the,eve,NN,lowercase,eve,DT,lowercase,the,IN,O,come,VBZ,O,protest,NN,lowercase,protest,lowercase,comes,5,lowercase,on,O
87,the,eve,of,IN,lowercase,of,NN,lowercase,eve,DT,O,on,IN,O,come,VBZ,lowercase,comes,lowercase,on,5,lowercase,the,O
88,eve,of,the,DT,lowercase,the,IN,lowercase,of,NN,O,the,DT,O,on,IN,lowercase,on,lowercase,the,5,lowercase,eve,O
89,of,the,annual,JJ,lowercase,annual,DT,lowercase,the,IN,O,eve,NN,O,the,DT,lowercase,the,lowercase,eve,5,lowercase,of,O
90,the,annual,confer,NN,lowercase,conference,JJ,lowercase,annual,DT,O,of,IN,O,eve,NN,lowercase,eve,lowercase,of,5,lowercase,the,O
91,annual,confer,of,IN,lowercase,of,NN,lowercase,conference,JJ,O,the,DT,O,of,IN,lowercase,of,lowercase,the,5,lowercase,annual,O
92,confer,of,britain,NNP,capitalized,Britain,IN,lowercase,of,NN,O,annual,JJ,O,the,DT,lowercase,the,lowercase,annual,5,lowercase,conference,O
93,of,britain,'s,POS,other,'s,NNP,capitalized,Britain,IN,O,confer,NN,O,annual,JJ,lowercase,annual,lowercase,conference,5,lowercase,of,O
94,britain,'s,rule,VBG,lowercase,ruling,POS,other,'s,NNP,O,of,IN,O,confer,NN,lowercase,conference,lowercase,of,5,capitalized,Britain,B-geo
95,'s,rule,labor,NNP,capitalized,Labor,VBG,lowercase,ruling,POS,B-geo,britain,NNP,O,of,IN,lowercase,of,capitalized,Britain,5,other,'s,O
96,rule,labor,parti,NNP,capitalized,Party,NNP,capitalized,Labor,VBG,O,'s,POS,B-geo,britain,NNP,capitalized,Britain,other,'s,5,lowercase,ruling,O
97,labor,parti,in,IN,lowercase,in,NNP,capitalized,Party,NNP,O,rule,VBG,O,'s,POS,other,'s,lowercase,ruling,5,capitalized,Labor,B-org
98,parti,in,the,DT,lowercase,the,IN,lowercase,in,NNP,B-org,labor,NNP,O,rule,VBG,lowercase,ruling,capitalized,Labor,5,capitalized,Party,I-org
99,in,the,southern,JJ,lowercase,southern,DT,lowercase,the,IN,I-org,parti,NNP,B-org,labor,NNP,capitalized,Labor,capitalized,Party,5,lowercase,in,O
100,the,southern,english,JJ,capitalized,English,JJ,lowercase,southern,DT,O,in,IN,I-org,parti,NNP,capitalized,Party,lowercase,in,5,lowercase,the,O
101,southern,english,seasid,NN,lowercase,seaside,JJ,capitalized,English,JJ,O,the,DT,O,in,IN,lowercase,in,lowercase,the,5,lowercase,southern,O
102,english,seasid,resort,NN,lowercase,resort,NN,lowercase,seaside,JJ,O,southern,JJ,O,the,DT,lowercase,the,lowercase,southern,5,capitalized,English,B-gpe
103,seasid,resort,of,IN,lowercase,of,NN,lowercase,resort,NN,B-gpe,english,JJ,O,southern,JJ,lowercase,southern,capitalized,English,5,lowercase,seaside,O
